溯及以往 溯及以往
派蒙: 我们才不会干这样的事呢！还有你们愚人众的教官真的很奇怪…
阿加菲娅: 奇怪吗…我倒觉得还挺正常的。总之，我现在就一个人在这里，无论如何你们都能很轻松解决我不是吗，我又逃不掉。
派蒙: 嗯…总觉得有点不甘心，唉，没办法，，那我们就先打开封住洞口的荆棘吧…

进入洞口与阿加菲娅对话
阿加菲娅: 扎哈尔，扎哈尔…你没事吧？
扎哈尔: 阿加霞，怎么了，出什么事了…我只是在这儿睡了一觉，不过身体已经舒服很多啦。
阿加菲娅: 唉…你没事就好。
扎哈尔: 嘿嘿，对了，阿加霞，你之前给我的果子，你给了我四个，我可一个都没吃呢，就等你回来一起吃。
阿加菲娅: 真是的，本来就是给你摘的苹果…要是等太久饿了，就先吃嘛。
扎哈尔: 可是你独自去做任务，更辛苦…虽然很饿，但是扎哈尔忍住了！
派蒙: 哦？独自去做任务呀，是做了什么任务呢…
扎哈尔: 啊，不就是因为雅科夫差点弄坏了设备，所以…
阿加菲娅: 扎哈尔！你怎么什么词都敢往外捅啊！
扎哈尔: 啊！你们，这不是内部文件上的，和…
旅行者(空): 「小飞人」。
扎哈尔: 对，是「小飞人」！
派蒙: 我已经说腻了，我的名字是「派蒙」啦。
扎哈尔: 嘿嘿，我脑袋不太好使，我的名字是扎哈尔…不对，你们和我们愚人众不是…不是敌人吗！
扎哈尔: 阿加菲娅，是你把敌人带到这里来的？
阿加菲娅: 对，这两位就是把你从荆棘里救出来的好心…救出来的好敌人。
扎哈尔: 对哦，你走了以后不久，这里突然长出了巨大的荆棘，把山洞封起来了…是你们把那个巨大荆棘消灭掉的吗，了不起啊！
派蒙: 正是如此！
扎哈尔: 可是我们不是敌人嘛，为什么要做帮助敌人的事呢？
派蒙: 真是个让人有点答不上来的好问题…
派蒙: 当然是因为她答应了，如果我们把你救出来，她就告诉我们，你们几个到底在干什么…
扎哈尔: 阿加菲娅，你居然出卖愚人众的情报！
阿加菲娅: 没关系的，扎哈尔，到时候我们随便说些什么「愚人众在这片海域捕猎神秘花鳉」之类的话糊弄过去就是了。
派蒙: 哇，居然光明正大地说要糊弄我们，真是被小瞧了。
派蒙: 好了，荆棘也打开了，扎哈尔也救出来了，该说出你们要做什么事了吧…
扎哈尔: 不能说呀，阿加菲娅。
阿加菲娅: 唉，都到了这个时候了…不过说实话。其实我们也不太清楚，只是过来做测试的而已。
旅行者(空): 测试？
旅行者(空): 什么测试？
阿加菲娅: 大概是什么信号测试吧…具体的我也不清楚，不过如果是小队里的另一组人，应该知道。
派蒙: 只有这些吗…
阿加菲娅: 我知道的也不多嘛…对了，情报也说了，你们可以放我们走了吧。
派蒙: 虽然好像没有答应过会放你们走，不过看上去也没什么危险…
旅行者(空): 那就算我们大发慈悲…
阿加菲娅: 欸呀，那还真是感谢了。唉，也不知道另一组的家伙们怎么样了，我们当时约好，说做完任务就回海域中间的营地…
派蒙: 另一组人？
阿加菲娅: 对，也是两个人，说是要朝着南方的两个岛的方向去了…啊，这可是额外的情报，可不是无意中被套话了哦。
派蒙: 南方的大岛上…那就是危危岛吧！
阿加菲娅: 好了好了，不能再说了，我们得快点回海域中央岛屿上的营地才行…

被抛出的徽记
在危危岛上，有一位一直叨念着什么徽记的愚人众雷锤前锋军，看样子似乎无法正常沟通…找到让他恢复理智的办法，说不定能得知他在此行动的目的。
雷锤前锋军: 都是因为我…都是因为我他才会那样…
雷锤前锋军: 不行，我得把…我得把徽记找回来给他…得把徽记找回来…
派蒙: 这个愚人众的家伙在念叨着什么呢？
派蒙: 喂，你在这里干什么呀！
雷锤前锋军: 徽记，徽记…
旅行者(空): 状态不太对…
旅行者(空): 没法沟通呢…
派蒙: 唔，稍微有点在意呢，为什么一个雷锤前锋军会在这里，不会在做什么坏事吧…
派蒙: ，你觉得呢，这个雷锤前锋军…
旅行者(空): 只有冲锋攻击需要注意…
派蒙: 确实，雷锤前锋军冲刺的时候可让人害怕了…不对，我没在说这个啦！
派蒙: 我是说，我们是不是应该让他清醒过来，问问他在这里干什么…
旅行者(空): 确实有点好奇…
派蒙: 对吧，一个愚人众在这里，说着什么「徽记，徽记…」之类的话，像是要找什么东西似的。
派蒙: 这可不是平常走在路上能见到的事呢。
派蒙: 可是，他到底为什么变成了现在这样…
旅行者(空): 因为那个装置吧…
派蒙: 是哦，愚人众也受到了那个装置的影响，不过到底有什么办法能够让他变得清醒过来呢？
雷锤前锋军: 一定得找到那个徽记…一定得找到那个徽记才行啊…
派蒙: 看来他好像一直在找什么徽记的样子…，看来得把他在找的徽记给他呀…

与雷锤前锋军对话
雷锤前锋军: 这个…对，就是这个，这上面的划痕我记得一清二楚…嗯，这里怎么多了个缺口…
雷锤前锋军: 对了，那时候雅科夫把这个徽记往下扔…
派蒙: 是嘛，怪不得这个徽记在那么奇怪的地方…
雷锤前锋军: 原来是这样，哈哈哈，没想到在海边，终于找到了…真是谢谢你们啊，这世上这么好心的人可不多了…
雷锤前锋军: 不对，你们是…你们是和派蒙！
旅行者(空): 对，我就是！
派蒙: 对，我就是派蒙！
雷锤前锋军: 我明白了…既然落到了你们的手里，那也没有什么办法了。
雷锤前锋军: 我的父亲曾这样教导我，「如若落在敌手受辱，还不如慷慨就义，为家族赢得荣誉」。
派蒙: 呜哇，听上去有点可怕…
旅行者(空): 居然说这样的话…
旅行者(空): 不是合格的父亲会说的话！
派蒙: 不过我们只是好奇你出现在这里的目的而已啦…
雷锤前锋军: ……
雷锤前锋军: 我的父亲曾这样教导我，「向敌人说出情报，那就和背叛没什么两样，我们家族没有为了苟活而背叛的人！」
派蒙: 严厉过头了吧。
旅行者(空): 严厉过头了…
雷锤前锋军: 所以按照父亲的教导，不仅落在你们手上，还接受了你们的帮助，实在是让人感到羞愧的一件事…
雷锤前锋军: 实不相瞒，我现在，羞愧得想要大哭一场！
派蒙: 知道了，这又不是什么值得自豪的事，没必要说那么大声啦。
雷锤前锋军: 但是父亲也曾这样教导我，「受人恩惠，就该好好回报。」父亲的教导，在现在的情况里，产生了矛盾。
雷锤前锋军: 所以我决定…
派蒙: 你决定？
雷锤前锋军: 就按照我的意思来吧，我会告诉你们的！
派蒙: 突然就变得随意了！
叶夫卡: 我的名字是叶夫卡，原本是在做装置信号的测试工作…唔，这段记忆有点不清楚，总之，我记得我们一路来到这座岛…
叶夫卡: 哦，对了，雅科夫，我是和雅科夫一起行动的，这之间还和他大吵了一架，导致他扔掉了这枚徽记…
叶夫卡: 后来我…眼睁睁地看着雅科夫走进一个奇怪的东西里，然后他就和那个东西一起消失了。我不会从此以后都见不到他了吧…
叶夫卡: 所以我才在这里，找能重新见到他的方法…然后不知道为什么脑袋「嗡」了一下，就变成了刚才那样。
派蒙: 走进去就会消失的奇怪的东西…是什么金苹果群岛的怪谈吗…
旅行者(空): 是恐怖的扭曲陷阱！
旅行者(空): 是无形的吃人魔物！
派蒙: 应该不是那样的东西吧…说不定其实就跟我们以前见过的那些奇怪的机关道路一样…
派蒙: 说不定确实有重新打开的办法呢！
叶夫卡: 你们，你们能打开那个吗…
派蒙: 可以是可以啦，不过我们为什么要帮你呢…
旅行者(空): 明明是愚人众呢…
叶夫卡: 如果你们能打开，找到雅科夫，你们要我说什么我都会说的…啊，执行官大人们的坏话除外。
派蒙: 哇，答应得好快，弄得我都觉得自己是反派了…而且，这个时候就遗忘你父亲的教导了吗…
叶夫卡: 本来就是因为我的过错所以雅科夫才…有些事情，是比所谓的原则和教导更重要的…我是这么认为的。
派蒙: 好吧！，我们就试试看看吧！

与叶夫卡对话
叶夫卡: 原来这里还有这样的一座岛…还真是奇怪…
叶夫卡: 之前，我们在进行调查的时候，不记得有这样一座岛啊…
派蒙: 叶夫卡…怎么了？
叶夫卡: 不，没什么事…
派蒙: 嗯，看来雅科夫肯定也来到了这个岛上！
叶夫卡: 对，雅科夫，得赶紧找到雅科夫才行。雅科夫——！
派蒙: 哇，都说了，别突然叫这么大声啦！
叶夫卡: 抱歉…
派蒙: 没必要那么紧张，这里应该是很安全的地方，好，，我们就先去找找雅科夫在哪吧…

尝试唤醒雅科夫
留声机: （留声机里播放着，让人能回想起温暖过去的话语……）
雅科夫: 啊…为什么…
叶夫卡: 雅科夫，雅科夫你醒醒啊！你怎么，怎么变成了这个样子…
派蒙: 你之前也是这个样子啦，而且还念叨着那个徽记呢！
叶夫卡: 哦，对哦，那个徽记…
叶夫卡: 雅科夫，你看，这是你的徽记。虽然你一气之下把它扔了，但是现在已经找到了…
叶夫卡: 这是你和你父亲一起获得的荣誉，现在已经重新回到你的手中了…怎么样，雅科夫，你醒过来了吗…
派蒙: 还是没有恢复呢…
叶夫卡: 难道这不是能唤醒他的东西吗…那他到底想要的是什么呀…
派蒙: 他想要的是什么，你居然不知道吗…你们不是队友嘛？
叶夫卡: 我…我一直以为他最重要的就是这份荣誉，不对，我错了，是「我以为」他觉得最重要的就是这个…
叶夫卡: 那是他和他父亲一起出一个紧急任务得来的，只不过他的父亲牺牲了，再也没有回来…
叶夫卡: 他的母亲在他出生的时候就去世了…失去父亲以后，他就变成了孤伶伶的一个人。
叶夫卡: 唉，他年纪比我小，得过的荣誉却比我多，说不定我只是一直在嫉妒他，也不知道如何和他相处，我唯一能够参照的就是…
派蒙: 不会是你父亲跟你相处的方式吧…
叶夫卡: 说来惭愧，但是确实如此…
派蒙: 这样不出问题才怪…
叶夫卡: 我们这支小队的休整处在海域中央的岛屿，现在雅科夫这个样子，我必须得先把他送到那边去才行。
叶夫卡: 哦，对了，我们…我们是受佩尔西科夫研究员指派，过来进行信号测试的成员。
叶夫卡: 据说是某位执行官大人在须弥得到了什么新的知识，可以通过一些技术，连接他人的意识，影响到一整片区域…
叶夫卡: 虽然不被看好，但是佩尔西科夫研究员还是强行开始了这次的实验，而我们则被指派前往海域各处进行装置的信号测试…
叶夫卡: 对了，不知道佩尔西科夫研究员的实验进行的如何了…
派蒙: 那还用问，我们出现在了这里，愚人众的实验…
旅行者(空): 当然是失败了！
叶夫卡: 是嘛，嘿嘿，这下那个佩尔西科夫研究员恐怕要吃苦头了。
叶夫卡: 我知道的也只有这么多了，我之前就跟别的队员约好，完成测试任务，就要回海域中心岛屿的营地…
派蒙: 啊，是之前碰到的愚人众！
叶夫卡: 是嘛，原来你们已经见过她们了呀…
叶夫卡: 唉…要是让阿加霞看到雅科夫这个样子，非得生我的气不可…不过无论如何，我得赶紧把雅科夫带回去才行！
雅科夫: 为什么…为什么…为什么要抛下我一个人...

被错置的海螺
之前唤醒的愚人众小队成员都回到了中央岛屿的营地里，真不知道名为雅科夫的岩使游击兵最后恢复理智了没有…

与营地中的愚人众对话
阿加菲娅: 雅科夫，雅科夫，刚才的就是你平时最喜欢听的曲子…
阿加菲娅: 怎么样，雅科夫醒过来了吗？
扎哈尔: 不行，阿加霞，还是什么反应都没有。
阿加菲娅: 每次我唱这首歌的时候，尤其是唱到「仲夏已逝，万花凋谢。你必将远行，而我却习惯等待。」这句的时候…
阿加菲娅: 每次我唱到这里，他总是会眼睛变得湿润地看着我呀…怎么会一点反应都没有呢？
阿加菲娅: 唉…
扎哈尔: 我给他做了他最喜欢喝的汤，味道香得我自己口水都要流出来了，可是他还是没醒。
叶夫卡: 阿加霞，我明白了！其实雅科夫最想要的就是他父亲能够回来，要不我就假扮成他的父亲…
阿加菲娅: 闭嘴，我现在不想跟你说话！我当时就不该让雅科夫和你一队的！
叶夫卡: 阿加霞，这不是因为我，你知道的，都是因为那个实验…
阿加菲娅: 雅科夫，可怜的雅科夫啊…
派蒙: 怎么了，雅科夫还是什么反应都没有吗？
阿加菲娅: 是你们啊…唉，正如你们所见，雅科夫还是一点反应都没有。
阿加菲娅: 这该如何是好啊，如果他这样浑浑噩噩的，就算回到了至冬，恐怕也会被愚人众除名…
旅行者(空): 被愚人众除名不好吗…
旅行者(空): 听上去倒是件好事。
阿加菲娅: 可是，可是雅科夫现在孤身一人…我们都时常外出执行任务，没人能够照顾他…如果被愚人众除名，他这样还怎么活下去呀…
阿加菲娅: 对了，，你…你肯定解决过很多这样的事了吧！
阿加菲娅: 拜托了，拜托了，找到让雅科夫恢复的办法吧！
派蒙: 可是…
阿加菲娅: 你们不是想要情报吗，我们会拿机密的情报跟你们交换的，比如…
扎哈尔: 对，比如「愚人众其实在金苹果群岛偷偷捕猎神秘花鳉」！
阿加菲娅: 扎哈尔…
扎哈尔: 对不起…我只记得这个了…
叶夫卡: 我们只是些负责跑腿的，哪有什么机密情报…
阿加菲娅: 叶夫卡，你不说话没人把你当哑巴。
派蒙: 唉…，你怎么看呢，「愚人众其实在金苹果群岛偷偷捕猎神秘花鳉」这条情报。
旅行者(空): 多少也是情报…
旅行者(空): 勉勉强强吧…
派蒙: 好吧，就看在这条情报的价值上，就帮你们这个忙吧。
阿加菲娅: 那真是感激不尽！
派蒙: 不过说是这么说…到底怎么样才能唤醒雅科夫呢…
派蒙: 他们之前好像一直在这个营地里…，不如我们先一起去营地里找找线索吧！

在营地进行调查
派蒙: 嗯？，你看箱子上放的海螺…
派蒙: 总觉得在什么地方看到过类似的海螺，我们调查看看吧…

在营地进行调查
叶夫卡的影像: 呦，瞧瞧，回来啦…哼，幸好装置没被你摔个稀巴烂…
雅科夫的影像: 但是…
叶夫卡的影像: 去做信号接收测试而已，累活又不是没干过…
阿加菲娅的影像: 你看，叶夫卡也觉得不是什么大事吧。
雅科夫的影像: 那…那我先去做准备，待会儿我们就出发！
派蒙: 原来是能够记录下影像的海螺啊…
派蒙: 唔…总觉得这段对话有些没头没尾的…像是缺了什么东西一样…
派蒙: ，我们去问问那些愚人众吧。

与营地中的愚人众对话收集线索
阿加菲娅: 怎么样，有什么发现了吗？
派蒙: 虽然也说不上是有线索，不过也是一种可能呢…
？？？: 向三位愚人众小队成员说明了海螺的作用…
阿加菲娅: 啊，没想到被那个奇怪装置影响到的海螺还会有这样的效果啊…
阿加菲娅: 你说的那个画面，应该是我带着害怕被训斥的雅科夫，找叶夫卡的画面吧…
叶夫卡: 对，你这么一说，我也有点印象。
阿加菲娅: 不过，那也是很长一段时间之前，更何况，受到了那台巨大装置的影响，呜…在营地里时的记忆也变得很模糊…
阿加菲娅: 但是，这里的海螺本来应该有四个，应该还有其他三个的！
派蒙: 其他的记忆很模糊，但是海螺有四个却记得很清楚？
阿加菲娅: 在营地休整的时候，我们发现忘带盛汤的容器了，所以就临时用了那个海螺装做好的汤。所以，那个海螺是我们一人一个的…
扎哈尔: 嗯，不过出发之前，雅科夫就把汤喝完，留在箱子上了…
扎哈尔: 其他的我们一人一个，全都带走啦！
旅行者(空): 那，海螺呢？
旅行者(空): 海螺现在在哪？
阿加菲娅: 唔…当时只觉得是一些普通的海螺，所以喝完汤之后就扔掉了…
阿加菲娅: 我想想，那个时候才刚上西北方向的大岛，就把汤喝完，海螺，海螺被我顺手丢在岛上一个全是水的山洞里了。
叶夫卡: 我，我好像扔在南方的大岛遗迹边的山上了…
扎哈尔: 嘿嘿，我的扔进了东北方向大岛的井里…
派蒙: 哇，根本就丢得到处都是…
派蒙: 西北方向的岛，应该是辛焱的幻境所在的岛，也就是破破岛…
派蒙: 南方向的大岛，就应该是危危岛…东北方向的话…
旅行者(空): 就是双双岛吧…
派蒙: 丢在了这三个岛上呀…
旅行者(空): 看来得找到这三个海螺…
派蒙: 嗯，如果找到了这三个海螺，说不定就能找到能让雅科夫醒过来的线索了！

与派蒙对话
派蒙: 对了，，就在他们说的那些地方…我们不都看到过奇怪的海螺影像嘛…
派蒙: 那个时候我们捡到的那三个有点怪怪的海螺，说不定就是用在这里的，赶紧放箱子上试试吧！
派蒙: 哦，看上去像是两个人躺在地上呢…是在看天上的星星？
派蒙: 总觉得是有点奇怪的影像呢…
扎哈尔的影像: 雅科夫，长官说了你些什么，你这么垂头丧气的。
雅科夫的影像: 因为海浪颠簸，搬运仪器的时候摔了一跤，幸好我手快，仪器没事…
雅科夫的影像: 但是长官还是训话说，要让我们小队去各个岛上做装置的信号接收测试，那可是最辛苦的任务…
扎哈尔的影像: 没关系，不必这么伤心，咱们什么累活没干过啊。别伤心啦，先吃点东西吧！
派蒙: 他们指着那么高的地方，是想要吃什么啊…
派蒙: 难道这个海螺…放歪了？
派蒙: 唔，影像居然正好放在舞台的中间…
派蒙: 这两个人在干嘛呢…看上去就像是一个人在说什么，另一个人坐在地上…
派蒙: 我知道了，这个一定是在讲故事的画面！他们一定是快要睡觉了，所以影像里她正在为坐在地上的人讲睡前故事…
旅行者(空): 愚人众也要听睡前故事吗…
派蒙: 说不定愚人众里也有人有这种需要的嘛。
雅科夫的影像: 阿加霞，佩尔西科夫大人让我们去做信号接收测试，是让我们四个一起去…叶夫卡要是听到这件事，又得生气不可…
阿加菲娅的影像: 雅科夫，不会的，这是上面大人的命令，叶夫卡肯定也不会责怪你的…
阿加菲娅的影像: 唉，你要是真这么害怕，我陪你去跟叶夫卡说。
派蒙: 什么嘛，原来不是在讲故事呀…
派蒙: 不过这段对话没头没尾的，根本什么都看不出来嘛…
派蒙: 海螺居然能够从井中浮起来…
旅行者(空): 毕竟是被幻境影响的海螺…
旅行者(空): 大概壳中有空气…
派蒙: 嗯，真是奇妙…啊，影像显示出来了，，你快看，那里有个弯腰的…哇！
派蒙: ，你不要动，你的身后…
旅行者(空): 是、是什么可怕的东西吗…
旅行者(空): 不许故意吓人哦！
派蒙: 啊，仔细一看只是海螺产生的影像，突然出现在背后，真是吓了人一大跳呢！
雅科夫的影像: 信号测试器…两组…
叶夫卡的影像: 唉，我还以为他被单独叫出去是要受什么严重的惩罚，结果只是布置了比较麻烦的任务，真是松了口气。
阿加菲娅的影像: 他可害怕被你骂了，哈哈，看上去就像是害怕被「哥哥」骂的「弟弟」一样…你说，他是不是，其实怕的是我们对他失望…
阿加菲娅的影像: 明明大家只是小队成员而已…但有的时候，感觉就跟「家人」一样啊…
叶夫卡的影像: 家人吗…
派蒙: 嗯…总有种偷听到了不该偷听到的话的感觉…
派蒙: 影像里这几个人好像不是…「那么坏」的愚人众嘛…

唤醒雅科夫
扎哈尔: 雅科夫，长官说了你些什么，你这么垂头丧气的。
雅科夫: 因为海浪颠簸，搬运仪器的时候摔了一跤，幸好我手快，仪器没事…
雅科夫: 但是长官还是训话说，要让我们小队去各个岛上做装置的信号接收测试，那可是最辛苦的任务…
扎哈尔: 没关系，不必这么伤心，咱们什么累活没干过啊。别伤心啦，先吃点东西吧！
雅科夫: 阿加霞，佩尔西科夫研究员让我们去做信号接收测试，是让我们四个一起去…叶夫卡要是听到这件事，非得气个爆炸不可…
阿加菲娅: 雅科夫，不会的，这是上面大人的命令，叶夫卡肯定也不会责怪你的…
阿加菲娅: 唉，你要是真这么害怕，我陪你去跟叶夫卡说。
叶夫卡: 呦，瞧瞧，回来啦…哼，幸好装置没被你摔个稀巴烂…
雅科夫: 但是…
叶夫卡: 去做信号接收测试而已，累活又不是没干过…
阿加菲娅: 你看，叶夫卡也觉得不是什么大事吧。
雅科夫: 那…那我先去做准备，待会儿我们就出发！
雅科夫: 信号测试器…两组…
叶夫卡: 唉，我还以为他被单独叫出去是要受什么严重的惩罚，结果只是布置了比较麻烦的任务，真是松了口气。
阿加菲娅: 他可害怕被你骂了，哈哈，看上去就像是害怕被「哥哥」骂的「弟弟」一样…你说，他是不是，其实怕的是我们对他失望…
阿加菲娅: 明明大家只是小队成员而已…但有的时候，感觉就跟「家人」一样啊…
叶夫卡: 家人吗…
雅科夫: 家人…我已经没有家人了…
雅科夫: …父亲让自己留在了危险的地方，让我得以脱身返回至冬。确认父亲无法归还后，他们送来了那枚徽记…
雅科夫: 可是我不想要那些奖赏和荣誉…我，我只想要我的家人…啊，父亲啊，为什么你独自把我留在这个世上呢…
阿加菲娅: 雅科夫。
阿加菲娅: 实验和任务都已经结束啦，雅科夫。
叶夫卡: 没想到居然是「家人」啊…那我的推论也对了一半嘛！
雅科夫: 怎么、怎么都这样看着我，我是说了什么奇怪的话吗…
阿加菲娅: 没有，只是不小心听到了一些你的心里话而已。雅科夫，所谓的家人有的时候并不仅仅指血脉相连的人哦…
扎哈尔: 嘿嘿，我觉得家人就是能一直在一起吃饭的人。
雅科夫: …我，我知道啦。
叶夫卡: 如果你愿意的话，你也可以将我视作你的父亲…
雅科夫: 不，这就有点恶心了…
派蒙: 啊，雅科夫恢复了！
旅行者(空): 真是可喜可贺…
雅科夫: 咦，这两位，不是在内部文件里看到过的…
派蒙: 其实之前就想问了…
旅行者(空): 内部文件？
旅行者(空): 什么内部文件？
阿加菲娅: 哎呀，没什么，上面都没什么重要的东西…
阿加菲娅: 对了雅科夫，如果没有他们帮忙，你说不定就没法恢复理智了！
雅科夫: 唔，虽然不知道发生了什么，但这次就谢谢你们了！
派蒙: 嗯…还是有点在意，不过就算了，我们也算成功完成了「情报与委托的交易啦」。
雅科夫: 唔...头好痛，怎么了，阿加霞姐姐，你怎么在这...我们不是在不同的组吗...
